Trial ,Guess,Actual,Difference
1,10,10,0
2,11,11,0
3,8,8,0
4,9,9,0
5,8,8,0
6,9,9,0
7,10,11,1
8,9,10,1
9,9,9,0
10,10,10,0
11,8,8,0
12,7,7,0
13,8,7,-1
14,5,6,1
15,7,6,-1
16,6,5,-1
17,5,5,0
18,7,7,0
19,9,9,0
20,13,13,0
21,8,8,0
22,7,9,2
23,5,5,0
24,7,8,1
25,8,8,0
26,11,11,0
27,9,11,2
28,6,6,0
29,6,6,0
30,6,7,1
31,8,9,1
32,9,9,0
33,13,13,0
34,11,11,0
35,13,13,0
36,11,12,1
37,12,12,0
38,9,9,0
39,13,13,0
40,14,16,2
41,7,10,3
42,9,10,1
43,11,11,0
44,11,13,2
45,12,12,0
46,10,10,0
47,8,8,0
48,8,7,-1
49,6,6,0
50,7,7,0